Data,Maior,Menor,Abertura,Fechamento,Volume,Adj Close
1/4/2021,"25,58","24,87","25,26","25,20",25.706.100,"25,18"
1/5/2021,"25,18","24,34","25,10","24,76",25.431.900,"24,74"
1/6/2021,"24,66","23,42","24,65","23,46",51.799.000,"23,44"
1/7/2021,"23,85","22,95","23,64","23,16",42.146.600,"23,14"
1/8/2021,"24,30","23,02","23,19","23,84",43.988.100,"23,82"
1/11/2021,"23,85","23,33","23,50","23,49",26.648.100,"23,47"
1/12/2021,"24,32","23,25","23,60","24,20",35.040.100,"24,18"
1/13/2021,"24,20","23,55","24,20","24,02",25.610.200,"24,00"
1/14/2021,"24,16","23,50","24,15","23,73",25.548.400,"23,71"
1/15/2021,"24,11","23,35","23,73","23,96",32.761.100,"23,94"
1/18/2021,"24,65","23,91","24,05","24,45",24.257.200,"24,43"
1/19/2021,"24,95","23,82","24,54","24,08",21.025.600,"24,06"
1/20/2021,"25,53","24,12","24,18","25,42",48.089.300,"25,40"
1/21/2021,"25,65","24,85","25,40","25,49",33.038.900,"25,47"
1/22/2021,"26,30","25,10","25,13","25,99",43.004.200,"25,97"
1/26/2021,"27,07","25,67","26,25","25,75",44.474.300,"25,73"
1/27/2021,"26,39","25,35","25,72","25,79",44.942.000,"25,77"
1/28/2021,"26,50","25,39","25,87","26,19",32.819.900,"26,17"
1/29/2021,"26,08","25,03","25,74","25,27",36.141.300,"25,25"
2/1/2021,"25,74","24,75","25,68","24,93",29.267.700,"24,91"
2/2/2021,"25,73","25,20","25,30","25,30",27.563.200,"25,28"
2/3/2021,"25,77","25,04","25,44","25,65",20.963.300,"25,63"
2/4/2021,"26,20","25,16","25,64","25,31",19.706.400,"25,29"
2/5/2021,"26,09","25,38","25,38","25,85",24.918.700,"25,83"
2/8/2021,"26,40","25,52","25,85","26,16",25.773.300,"26,14"
2/9/2021,"26,45","25,90","26,16","26,24",19.348.100,"26,22"
2/10/2021,"26,12","25,11","26,10","25,30",40.037.100,"25,28"
2/11/2021,"25,95","25,30","25,30","25,65",20.569.900,"25,63"
2/12/2021,"25,98","25,35","25,52","25,91",15.132.400,"25,89"
2/17/2021,"26,21","25,46","25,72","25,50",24.753.500,"25,48"
